ID_PESSOA;CD_PROGRAMA_IES;NM_PROGRAMA_IES;NM_AREA_CONHECIMENTO
42511;33283010001P5;ENSINO DE FÍSICA - PROFIS;CIÊNCIAS E HUMANIDADES PARA A EDUCAÇÃO BÁSICA
9501;53045009001P3;ADMINISTRAÇÃO PÚBLICA EM REDE NACIONAL;ADMINISTRAÇÃO
122287;25003011071P8;BIODIVERSIDADE E CONSERVAÇÃO;ECOLOGIA
187632;25003011071P8;BIODIVERSIDADE E CONSERVAÇÃO;ECOLOGIA
147493;25003011071P8;BIODIVERSIDADE E CONSERVAÇÃO;ECOLOGIA
141225;25003011071P8;BIODIVERSIDADE E CONSERVAÇÃO;ECOLOGIA
140659;25003011071P8;BIODIVERSIDADE E CONSERVAÇÃO;ECOLOGIA
163913;25003011073P0;SAÚDE ÚNICA;MEDICINA VETERINÁRIA
533336;22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;BIOTECNOLOGIA
28374;53045009001P3;ADMINISTRAÇÃO PÚBLICA EM REDE NACIONAL;ADMINISTRAÇÃO
7960;25003011003P2;CIÊNCIA DO SOLO;AGRONOMIA
159948;25003011003P2;CIÊNCIA DO SOLO;AGRONOMIA
497024;33283010001P5;ENSINO DE FÍSICA - PROFIS;CIÊNCIAS E HUMANIDADES PARA A EDUCAÇÃO BÁSICA
809578;25003011071P8;BIODIVERSIDADE E CONSERVAÇÃO;ECOLOGIA
353362;53045009001P3;ADMINISTRAÇÃO PÚBLICA EM REDE NACIONAL;ADMINISTRAÇÃO
16179;25003011003P2;CIÊNCIA DO SOLO;AGRONOMIA
718473;53045009001P3;ADMINISTRAÇÃO PÚBLICA EM REDE NACIONAL;ADMINISTRAÇÃO
99913;25003011071P8;BIODIVERSIDADE E CONSERVAÇÃO;ECOLOGIA
513523;25003011073P0;SAÚDE ÚNICA;MEDICINA VETERINÁRIA
461070;25003011073P0;SAÚDE ÚNICA;MEDICINA VETERINÁRIA
37249;53045009001P3;ADMINISTRAÇÃO PÚBLICA EM REDE NACIONAL;ADMINISTRAÇÃO
433307;25003011073P0;SAÚDE ÚNICA;MEDICINA VETERINÁRIA
459935;25003011073P0;SAÚDE ÚNICA;MEDICINA VETERINÁRIA
45655;53045009001P3;ADMINISTRAÇÃO PÚBLICA EM REDE NACIONAL;ADMINISTRAÇÃO
