author_name,citation_count,h_index,document_count,scopus_author_id,scopus_indexed_name,scopus_affiliation_name,match_status,match_score,query_used,error_message,review_status
ALEXANDRO CARDOSO TENORIO,53.0,2.0,2.0,57191953686.0,,Universidade Federal Rural de Pernambuco,matched,114.0,[last-only+afid] AUTHLAST(TENORIO) AND AF-ID(60000958),,accepted
REZILDA RODRIGUES OLIVEIRA,0.0,0.0,3.0,57191724020.0,,Universidade Federal Rural de Pernambuco,matched,130.0,"AUTHLAST(OLIVEIRA) AND AUTHFIRST(REZILDA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
ALEXANDRE MENDES FERNANDES,818.0,14.0,28.0,35560389600.0,,Universidade Federal Rural de Pernambuco,matched,131.0,"AUTHLAST(FERNANDES) AND AUTHFIRST(ALEXANDRE) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
LUCIANA SANDRA BASTOS DE SOUZA,0.0,0.0,2.0,60353568900.0,,Universidade Federal Rural de Pernambuco,matched,130.0,"AUTHLAST(SOUZA) AND AUTHFIRST(LUCIANA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
EDGAR ALBERTO DO ESPIRITO SANTO SILVA,155.0,7.0,10.0,55520901700.0,,Universidade Federal Rural de Pernambuco,matched,87.0,"AUTHLAST(SILVA) AND AUTHFIRST(EDGAR) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
JESSER FIDELIS DE SOUZA FILHO,391.0,9.0,72.0,35231012600.0,,Universidade Federal de Pernambuco,matched,35.0,"AUTHLAST(FILHO) AND AUTHFIRST(JESSER) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
AIRTON TORRES CARVALHO,574.0,12.0,28.0,24821662900.0,,Universidade Federal Rural do Semi-Árido,matched,35.0,"AUTHLAST(CARVALHO) AND AUTHFIRST(AIRTON) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,rejected
RAFAEL ANTONIO DO NASCIMENTO RAMOS,30.0,1.0,1.0,59159706400.0,,Universidade Federal Rural de Pernambuco,matched,98.0,"AUTHLAST(RAMOS) AND AUTHFIRST(RAFAEL) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
JOSE VITOR MOREIRA LIMA FILHO,3.0,1.0,1.0,57189464676.0,,Universidade Federal Rural de Pernambuco,matched,130.0,"AUTHLAST(FILHO) AND AUTHFIRST(JOSE) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
ROMILSON MARQUES CABRAL,121.0,5.0,8.0,14629906700.0,,Universidade Federal Rural de Pernambuco,matched,114.0,[last-only+afid] AUTHLAST(CABRAL) AND AF-ID(60000958),,accepted
VALDOMIRO SEVERINO DE SOUZA JUNIOR,1951.0,24.0,109.0,22937210800.0,,Universidade Federal Rural de Pernambuco,matched,103.0,"AUTHLAST(JUNIOR) AND AUTHFIRST(VALDOMIRO) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
YURI JACQUES AGRA BEZERRA DA SILVA,1118.0,20.0,62.0,55978497500.0,,Universidade Federal Rural de Pernambuco,matched,131.0,"AUTHLAST(SILVA) AND AUTHFIRST(YURI) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
WICTOR CARLOS MAGNO,253.0,7.0,18.0,6602643637.0,,Universidade Federal Rural de Pernambuco,matched,123.0,"AUTHLAST(MAGNO) AND AUTHFIRST(WICTOR) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
NIVALDO FERREIRA DO NASCIMENTO,485.0,13.0,48.0,56511841800.0,,Universidade Federal Rural de Pernambuco,matched,102.0,"AUTHLAST(NASCIMENTO) AND AUTHFIRST(NIVALDO) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
ANGELA CRISTINA ROCHA DE SOUZA,851.0,18.0,65.0,24075258700.0,,Universidade Federal Rural de Pernambuco,matched,113.0,[last-only+afid] AUTHLAST(SOUZA) AND AF-ID(60000958),,accepted
CLISTENES WILLIAMS ARAUJO DO NASCIMENTO,0.0,0.0,5.0,57411134800.0,,Universidade Federal Rural de Pernambuco,matched,130.0,"AUTHLAST(NASCIMENTO) AND AUTHFIRST(CLISTENES) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
